topic,lo,ls_p_s,ls_p_i,ls_i_v,ls_i_a,ls_o_i,ls_o_d,ls_pr_a,ls_pr_r,ls_u_s,ls_u_g
T1,LO1a_1,0,3,1,2,0,3,0,3,3,0
T1,LO2a_1,0,2,1,1,2,0,0,2,2,0
T1,LO2b_1,1,1,1,1,0,1,0,1,1,0
T1,LO2c_1,3,0,1,2,0,2,0,2,2,0
T1,LO2d_1,1,4,1,4,1,1,1,1,2,0
T1,LO2e_1,2,4,1,5,1,1,1,1,1,1
T1,LO2f_1,1,2,1,2,0,2,1,0,2,0
T1,LO2g_1,1,2,1,2,0,1,0,1,1,0
T1,LO3a_1,4,5,5,4,3,4,0,3,3,3
T1,LO3b_1,1,1,1,1,1,1,0,2,2,0
T1,LO3b_2,2,1,1,2,3,0,1,2,1,2
T1,LO3c_1,20,44,26,38,14,18,10,22,15,16
T1,LO3c_2,21,20,20,21,14,16,20,13,17,7
T1,LO3d_1,2,1,1,2,0,1,0,1,1,0
T1,LO4a_1,3,9,9,3,3,5,2,7,6,1
T1,LO4b_1,9,7,6,10,5,4,6,6,3,4
T1,LO5a_1,0,2,0,2,0,0,0,1,0,0
T1,LO6a_1,1,1,1,1,0,1,0,1,1,0
T1,LO7a_1,0,7,0,7,0,0,0,0,0,0
T1,LO8a_1,0,9,0,9,0,0,0,0,0,0
T2,LO1a_1,0,2,1,1,0,1,0,1,1,0
T2,LO2a_1,5,3,3,5,3,1,2,4,1,2
T2,LO2b_1,5,3,2,6,3,3,3,2,2,3
T2,LO2c_1,3,3,3,3,1,1,0,4,3,2
T2,LO2d_1,1,2,2,1,1,1,0,1,1,1
T2,LO3a_1,2,4,4,2,0,1,1,3,2,1
T2,LO3b_1,5,2,3,4,2,4,3,1,1,3
T2,LO3c_1,3,4,4,3,3,0,2,2,2,1
T2,LO3d_1,2,5,4,3,2,3,1,4,1,2
T2,LO3d_2,6,3,3,6,3,3,3,1,5,3
T2,LO3e_1,7,19,14,12,7,7,2,8,8,6
T2,LO3f_1,4,5,4,5,1,2,3,3,1,2
T2,LO4a_1,2,2,2,2,0,1,1,1,1,0
T2,LO4b_1,2,0,1,1,1,0,1,0,1,0
T2,LO4c_1,2,3,3,2,2,1,2,2,1,1
T2,LO4c_2,3,1,1,3,0,0,0,2,2,1
T2,LO4d_1,5,1,1,5,1,3,4,0,2,2
T2,LO4e_1,3,1,1,3,3,0,1,2,3,0
T2,LO4e_2,0,1,1,0,0,0,1,0,1,0
T2,LO4f_1,7,1,1,7,4,2,2,3,3,3
T2,LO4f_2,3,3,3,3,2,2,1,3,0,4
T2,LO5a_1,0,2,0,2,0,0,0,1,0,0
T2,LO6a_1,1,1,1,1,0,1,0,1,1,0
T2,LO7a_1,0,3,0,3,0,0,0,0,0,0
T3,LO1a_1,1,1,1,1,1,1,0,1,1,0
T3,LO2a_1,5,5,5,5,1,2,2,3,7,1
T3,LO2a_2,2,3,3,2,3,0,2,1,3,2
T3,LO2b_1,2,3,3,2,0,3,0,4,2,0
T3,LO2b_2,0,1,1,0,0,1,1,0,0,1
T3,LO2c_1,4,2,2,4,3,2,2,1,2,1
T3,LO2c_2,0,6,6,0,1,3,2,4,2,1
T3,LO2d_1,4,7,5,6,2,4,2,3,4,2
T3,LO3a_1,1,1,1,1,0,1,1,0,1,0
T3,LO3b_1,3,0,1,2,0,1,0,1,1,0
T3,LO3c_1,1,1,1,1,0,1,0,1,1,0
T3,LO3d_1,1,1,1,1,0,1,0,1,1,0
T3,LO3e_1,3,1,2,2,3,0,1,0,1,0
T3,LO3f_1,1,1,1,1,0,1,0,1,1,0
T3,LO3g_1,1,1,1,1,0,1,0,1,1,0
T3,LO3h_1,1,1,1,1,1,1,0,1,1,0
T3,LO3i_1,2,0,1,1,0,1,1,0,0,1
T3,LO4a_1,4,8,5,7,1,6,4,2,5,2
T3,LO4b_1,3,4,1,6,0,3,1,2,1,2
T3,LO4c_1,5,11,8,8,6,3,4,4,4,3
T3,LO4d_1,5,4,4,5,2,4,3,4,2,5
T3,LO4e_1,2,3,3,2,2,2,0,3,2,2
T3,LO4f_1,5,4,4,5,4,3,2,3,5,3
T3,LO5a_1,0,2,0,2,0,0,0,2,0,0
T3,LO6a_1,1,1,1,1,0,1,0,1,1,0
T3,LO7a_1,0,2,0,2,0,0,0,0,0,0
T3,LO8a_1,0,3,0,3,0,0,0,0,0,0
T4,LO1a_1,1,1,1,1,1,1,0,1,1,0
T4,LO2a_1,2,1,1,2,1,1,1,1,1,0
T4,LO2b_1,1,1,1,1,1,1,1,1,2,0
T4,LO2c_1,1,2,1,2,0,1,0,1,1,0
T4,LO2d_1,0,8,0,8,1,1,1,1,2,0
T4,LO2e_1,1,1,1,1,0,1,0,1,1,0
T4,LO3a_1,4,2,2,4,2,3,3,1,2,1
T4,LO3b_1,2,4,4,2,2,2,2,1,2,3
T4,LO3c_1,1,1,1,1,0,1,0,1,1,0
T4,LO3d_1,2,3,3,2,1,2,1,2,2,2
T4,LO3e_1,1,1,1,1,0,1,0,1,1,0
T4,LO4a_1,4,5,5,4,2,4,1,4,6,1
T4,LO4b_1,6,2,2,6,3,1,0,7,4,1
T4,LO4c_1,2,2,2,2,2,1,0,1,1,0
T4,LO4d_1,4,9,9,4,6,3,2,6,2,5
T4,LO5a_1,0,2,0,2,0,0,0,2,0,0
T4,LO6a_1,1,2,1,2,0,1,0,1,1,0
T5,LO1a_1,1,1,1,1,1,1,0,1,1,0
T5,LO2a_1,1,1,1,1,0,1,0,1,1,0
T5,LO2b_1,1,1,1,1,0,1,0,1,1,0
T5,LO2c_1,1,1,1,1,0,1,0,1,1,0
T5,LO2d_1,1,1,1,1,1,1,0,2,2,0
T5,LO2e_1,1,1,1,1,0,2,0,2,2,0
T5,LO2f_1,1,1,1,1,0,1,0,1,1,0
T5,LO3a_1,1,4,1,4,0,1,0,1,1,0
T5,LO3b_1,1,2,1,2,1,0,0,1,1,0
T5,LO3c_1,1,6,1,6,1,1,1,1,2,0
T5,LO4a_1,7,3,3,7,1,4,1,4,4,2
T5,LO4b_1,4,4,4,4,3,2,1,2,4,0
T5,LO4c_1,8,8,7,9,7,6,4,9,8,4
T5,LO4d_1,4,4,4,4,1,4,2,3,2,1
T5,LO4e_1,5,12,9,8,7,5,6,3,5,5
T5,LO5a_1,0,2,0,2,0,0,0,2,0,0
T5,LO6a_1,1,1,1,1,0,1,0,1,1,0
T6,LO1a_1,1,1,1,1,1,1,0,2,2,0
T6,LO2a_1,1,2,2,1,1,1,0,2,2,0
T6,LO2a_2,3,1,1,3,1,3,1,2,0,1
T6,LO2b_1,1,2,1,2,0,1,0,1,1,0
T6,LO2c_1,12,22,13,21,14,5,9,11,7,8
T6,LO3a_1,4,6,5,5,3,3,3,5,3,1
T6,LO3b_1,3,5,4,4,2,3,2,4,2,1
T6,LO3c_1,4,3,3,4,3,2,2,2,5,1
T6,LO3d_1,14,20,12,22,9,10,12,9,10,6
T6,LO4a_1,1,2,2,1,0,1,0,2,1,1
T6,LO4a_2,2,1,1,2,3,0,0,1,1,1
T6,LO4b_1,5,3,3,5,1,4,3,1,6,0
T6,LO4c_1,4,5,5,4,3,1,2,4,4,1
T6,LO5a_1,1,1,1,1,0,0,0,2,0,0
T6,LO6a_1,1,1,1,1,0,1,0,1,1,0
T6,LO7a_1,0,5,1,4,0,1,0,0,0,0
T7,LO1a_1,1,1,1,1,1,1,0,1,1,0
T7,LO2a_1,1,2,2,1,1,1,1,1,2,0
T7,LO2b_1,1,3,1,3,1,1,1,1,2,0
T7,LO2c_1,4,6,5,5,3,5,3,4,5,2
T7,LO3a_1,5,4,3,6,3,3,4,3,4,3
T7,LO3b_1,1,2,2,1,0,2,0,2,1,0
T7,LO3c_1,4,2,2,4,1,2,3,1,2,2
T7,LO3d_1,3,2,2,3,0,1,0,2,2,1
T7,LO3e_1,1,9,9,1,5,3,2,6,3,3
T7,LO3f_1,7,3,2,8,4,3,2,4,1,3
T7,LO3g_1,4,5,3,6,3,2,1,7,3,4
T7,LO3h_1,6,10,8,8,4,4,0,5,7,4
T7,LO3i_1,4,6,5,5,2,3,2,4,5,2
T7,LO4a_1,6,5,4,7,2,3,0,6,5,2
T7,LO4b_1,1,2,2,1,1,1,1,1,1,0
T7,LO4c_1,2,7,4,5,1,2,0,6,3,2
T7,LO4d_1,8,5,2,11,5,4,2,3,5,3
T7,LO4e_1,1,6,4,3,2,3,1,4,3,1
T7,LO4f_1,1,2,1,2,1,2,1,1,1,1
T7,LO4g_1,2,3,3,2,3,1,2,2,2,0
T7,LO4h_1,5,7,6,6,4,3,5,3,3,5
T7,LO4i_1,3,1,1,3,1,2,0,3,2,1
T7,LO4j_1,2,6,6,2,1,4,2,3,2,2
T7,LO4k_1,4,7,6,5,3,5,0,4,6,2
T7,LO4l_1,2,1,1,2,1,1,1,1,1,1
T7,LO5a_1,1,1,1,1,0,0,0,2,0,0
T7,LO6a_1,1,1,1,1,0,1,0,1,1,0
T7,LO7a_1,0,3,0,3,0,0,0,1,0,0
T7,LO8a_1,0,3,0,3,0,0,0,1,0,0
T8,LO1a_1,1,1,1,1,1,1,0,1,1,0
T8,LO2a_1,5,4,4,5,3,2,2,4,3,2
T8,LO2b_1,4,2,2,4,2,1,0,4,3,0
T8,LO2c_1,4,11,11,4,3,5,4,3,6,2
T8,LO2c_1,4,7,7,4,3,4,3,3,5,2
T8,LO3a_1,1,2,1,2,0,1,0,1,1,0
T8,LO3b_1,1,4,1,4,1,2,1,2,3,0
T8,LO3c_1,1,1,1,1,0,1,0,1,1,0
T8,LO3d_1,1,1,1,1,0,1,0,1,1,0
T8,LO3e_1,1,1,1,1,0,1,0,1,1,0
T8,LO3f_1,0,2,0,2,0,2,0,2,2,0
T8,LO4a_1,0,4,1,3,0,1,0,1,1,0
T8,LO4b_1,1,3,1,3,0,1,1,1,2,0
T8,LO5a_1,0,2,1,1,0,0,0,2,0,0
T8,LO6a_1,1,2,1,2,0,1,0,2,2,0
T8,LO7a_1,1,7,1,7,0,1,0,1,1,0
T8,LO8a_1,0,2,1,1,0,1,0,1,1,0