topic,lo,er,ls_p_s,ls_p_i,ls_i_v,ls_i_a,ls_o_i,ls_o_d,ls_pr_a,ls_pr_r,ls_u_s,ls_u_g
T1,LO1a_1,ER1a_1_1,0,1,1,0,0,1,0,1,1,0
T1,LO1a_1,ER1b_1_1,0,1,0,1,0,1,0,1,1,0
T1,LO1a_1,ER1c_1_1,0,1,0,1,0,1,0,1,1,0
T1,LO2a_1,ER2a_1_1,0,1,1,0,1,0,0,1,1,0
T1,LO2a_1,ER2b_1_1,0,1,0,1,1,0,0,1,1,0
T1,LO2b_1,ER3a_1_1,1,0,1,0,0,0,0,0,0,0
T1,LO2b_1,ER3b_1_1,0,1,0,1,0,1,0,1,1,0
T1,LO2c_1,ER4a_1_1,1,0,1,0,0,0,0,0,0,0
T1,LO2c_1,ER4b_1_1,1,0,0,1,0,1,0,1,1,0
T1,LO2c_1,ER4c_1_1,1,0,0,1,0,1,0,1,1,0
T1,LO2d_1,ER5a_1_1,1,0,1,0,1,0,1,0,1,0
T1,LO2d_1,ER5b_1_1,0,1,0,1,0,1,0,1,1,0
T1,LO2d_1,ER5c_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO2d_1,ER5d_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO2d_1,ER5e_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO2e_1,ER6a_1_1,1,0,1,0,0,0,0,0,0,0
T1,LO2e_1,ER6b_1_1,0,1,0,1,0,1,0,1,1,0
T1,LO2e_1,ER6c_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO2e_1,ER6d_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO2e_1,ER6e_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO2e_1,ER6f_1_1,1,0,0,1,1,0,1,0,0,1
T1,LO2f_1,ER7a_1_1,1,0,1,0,0,0,0,0,0,0
T1,LO2f_1,ER7b_1_1,0,1,0,1,0,1,0,0,1,0
T1,LO2f_1,ER7c_1_1,0,1,0,1,0,1,1,0,1,0
T1,LO2g_1,ER8a_1_1,1,0,1,0,0,0,0,0,0,0
T1,LO2g_1,ER8b_1_1,0,1,0,1,0,1,0,1,1,0
T1,LO2g_1,ER8c_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO3a_1,ER9a_1_1,1,0,1,0,0,0,0,0,0,0
T1,LO3a_1,ER9a_1_2,1,0,0,1,0,1,0,0,0,0
T1,LO3a_1,ER9a_1_3,0,1,1,0,1,0,0,0,0,1
T1,LO3a_1,ER9a_1_4,0,1,1,0,0,0,0,0,0,1
T1,LO3a_1,ER9b_1_1,0,1,0,1,0,1,0,1,1,0
T1,LO3a_1,ER9b_1_2,0,1,1,0,1,0,0,0,0,1
T1,LO3a_1,ER9b_1_3,1,0,0,1,0,1,0,1,0,0
T1,LO3a_1,ER9b_1_4,0,1,1,0,1,0,0,0,1,0
T1,LO3a_1,ER9b_1_5,1,0,0,1,0,1,0,1,1,0
T1,LO3b_1,ER10a_1_1,1,0,1,0,1,0,0,1,1,0
T1,LO3b_1,ER10b_1_1,0,1,0,1,0,1,0,1,1,0
T1,LO3b_2,ER10b_2_1,1,0,0,1,1,0,1,0,0,1
T1,LO3b_2,ER10b_2_2,1,0,0,1,1,0,0,1,0,1
T1,LO3b_2,ER10b_2_3,0,1,1,0,1,0,0,1,1,0
T1,LO3c_1,ER11a_1_1,1,0,1,0,0,0,0,0,0,0
T1,LO3c_1,ER11a_1_2,1,0,0,1,0,1,0,0,0,1
T1,LO3c_1,ER11a_1_3,0,1,1,0,0,1,0,0,0,0
T1,LO3c_1,ER11a_1_4,0,1,1,0,0,0,1,0,0,0
T1,LO3c_1,ER11b_1_1,0,1,0,1,0,1,0,1,1,0
T1,LO3c_1,ER11b_1_2,1,0,0,1,0,0,0,1,0,0
T1,LO3c_1,ER11b_1_3,0,1,1,0,1,0,1,0,0,1
T1,LO3c_1,ER11b_1_4,0,1,1,0,1,0,1,0,1,0
T1,LO3c_1,ER11b_1_5,0,1,1,0,1,0,0,1,1,0
T1,LO3c_1,ER11c_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO3c_1,ER11c_1_2,1,0,0,1,0,1,0,1,1,0
T1,LO3c_1,ER11c_1_3,1,0,0,1,0,0,0,1,0,0
T1,LO3c_1,ER11c_1_4,1,0,0,1,0,1,0,1,0,1
T1,LO3c_1,ER11c_1_5,1,0,0,1,0,1,0,1,0,0
T1,LO3c_1,ER11d_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO3c_1,ER11d_1_2,0,1,1,0,0,1,1,0,0,1
T1,LO3c_1,ER11d_1_3,1,0,0,1,1,0,0,0,0,1
T1,LO3c_1,ER11d_1_4,1,0,0,1,1,0,0,1,0,1
T1,LO3c_1,ER11e_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO3c_1,ER11f_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO3c_1,ER11f_1_2,0,1,1,0,0,0,1,0,0,0
T1,LO3c_1,ER11f_1_3,0,1,1,0,0,0,0,0,0,1
T1,LO3c_1,ER11f_1_4,1,0,0,1,0,1,0,0,0,0
T1,LO3c_1,ER11g_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO3c_1,ER11g_1_2,1,0,0,1,0,1,0,1,0,0
T1,LO3c_1,ER11g_1_3,0,1,1,0,0,1,0,1,0,0
T1,LO3c_1,ER11g_1_4,1,0,0,1,0,0,0,0,0,0
T1,LO3c_1,ER11g_1_5,1,0,0,1,1,0,0,1,1,0
T1,LO3c_1,ER11h_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO3c_1,ER11h_1_2,0,1,1,0,0,0,0,0,1,0
T1,LO3c_1,ER11i_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO3c_1,ER11i_1_2,0,1,1,0,0,1,0,1,1,0
T1,LO3c_1,ER11i_1_3,0,1,1,0,0,0,0,0,0,1
T1,LO3c_1,ER11j_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO3c_1,ER11k_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO3c_1,ER11k_1_2,1,0,0,1,1,0,0,1,1,0
T1,LO3c_1,ER11k_1_3,0,1,1,0,0,1,0,1,0,0
T1,LO3c_1,ER11k_1_4,1,0,0,1,0,0,1,0,0,1
T1,LO3c_1,ER11l_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO3c_1,ER11l_1_2,0,1,1,0,1,0,0,0,0,0
T1,LO3c_1,ER11l_1_3,0,1,1,0,1,0,0,1,1,0
T1,LO3c_1,ER11m_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO3c_1,ER11n_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO3c_1,ER11n_1_2,0,1,1,0,0,1,0,1,0,0
T1,LO3c_1,ER11n_1_3,0,1,1,0,0,0,0,0,1,0
T1,LO3c_1,ER11o_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO3c_1,ER11o_1_2,0,1,1,0,0,1,0,1,0,1
T1,LO3c_1,ER11o_1_3,0,1,1,0,1,0,0,0,1,0
T1,LO3c_1,ER11p_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO3c_1,ER11p_1_2,1,0,0,1,0,1,1,0,1,0
T1,LO3c_1,ER11p_1_3,0,1,1,0,0,1,0,1,0,1
T1,LO3c_1,ER11p_1_4,0,1,1,0,1,0,0,1,0,1
T1,LO3c_1,ER11q_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO3c_1,ER11q_1_2,1,0,0,1,1,0,1,0,0,1
T1,LO3c_1,ER11q_1_3,0,1,1,0,0,1,0,1,1,0
T1,LO3c_1,ER11q_1_4,0,1,1,0,0,0,0,0,0,1
T1,LO3c_1,ER11r_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO3c_1,ER11r_1_2,1,0,0,1,0,1,0,1,1,0
T1,LO3c_1,ER11r_1_3,0,1,1,0,0,0,1,0,0,0
T1,LO3c_1,ER11r_1_4,1,0,0,1,0,0,0,1,0,1
T1,LO3c_1,ER11s_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO3c_1,ER11t_1_1,0,1,0,1,1,0,1,0,1,0
T1,LO3c_1,ER11t_1_2,0,1,1,0,1,0,0,0,0,0
T1,LO3c_1,ER11t_1_3,1,0,0,1,0,0,0,0,0,1
T1,LO3c_2,ER11a_2_1,1,0,0,1,1,0,1,0,1,0
T1,LO3c_2,ER11a_2_2,1,0,0,1,0,0,0,1,0,1
T1,LO3c_2,ER11a_2_3,1,0,0,1,0,0,1,0,1,0
T1,LO3c_2,ER11b_2_1,1,0,0,1,0,1,1,0,0,0
T1,LO3c_2,ER11b_2_2,0,1,1,0,0,1,1,0,0,0
T1,LO3c_2,ER11b_2_3,0,1,1,0,1,0,1,0,0,0
T1,LO3c_2,ER11d_2_1,0,1,1,0,1,0,0,0,1,0
T1,LO3c_2,ER11d_2_2,0,1,1,0,0,1,0,1,1,0
T1,LO3c_2,ER11d_2_3,0,1,1,0,1,0,0,1,0,0
T1,LO3c_2,ER11d_2_4,1,0,0,1,1,0,0,1,1,0
T1,LO3c_2,ER11e_2_1,1,0,0,1,0,1,1,0,1,0
T1,LO3c_2,ER11f_2_1,1,0,0,1,0,1,0,1,0,0
T1,LO3c_2,ER11f_2_2,0,1,1,0,0,0,1,0,0,0
T1,LO3c_2,ER11f_2_3,0,1,1,0,1,0,1,0,0,0
T1,LO3c_2,ER11g_2_1,1,0,0,1,0,1,0,0,0,0
T1,LO3c_2,ER11g_2_2,1,0,0,1,1,0,0,1,0,1
T1,LO3c_2,ER11h_2_1,0,1,1,0,0,0,1,0,0,0
T1,LO3c_2,ER11h_2_2,1,0,0,1,0,1,1,0,0,0
T1,LO3c_2,ER11i_2_1,0,1,1,0,1,0,1,0,1,0
T1,LO3c_2,ER11i_2_2,0,1,1,0,1,0,0,1,0,1
T1,LO3c_2,ER11i_2_3,0,1,1,0,0,1,0,0,1,0
T1,LO3c_2,ER11i_2_4,0,1,1,0,0,1,1,0,1,0
T1,LO3c_2,ER11j_2_1,0,1,1,0,0,0,0,1,0,1
T1,LO3c_2,ER11j_2_2,0,1,1,0,1,0,1,0,0,0
T1,LO3c_2,ER11j_2_3,1,0,0,1,1,0,0,1,0,0
T1,LO3c_2,ER11k_2_1,1,0,0,1,0,1,0,0,0,0
T1,LO3c_2,ER11k_2_2,1,0,0,1,0,0,1,0,0,0
T1,LO3c_2,ER11l_2_1,1,0,0,1,0,0,0,1,0,1
T1,LO3c_2,ER11l_2_2,1,0,0,1,0,1,1,0,1,0
T1,LO3c_2,ER11n_2_1,1,0,0,1,0,1,1,0,1,0
T1,LO3c_2,ER11n_2_2,1,0,0,1,1,0,0,0,0,0
T1,LO3c_2,ER11p_2_1,0,1,1,0,0,1,1,0,1,0
T1,LO3c_2,ER11q_2_1,1,0,0,1,0,0,0,1,1,0
T1,LO3c_2,ER11q_2_2,0,1,1,0,1,0,1,0,1,0
T1,LO3c_2,ER11q_2_3,0,1,1,0,0,0,0,1,0,1
T1,LO3c_2,ER11s_2_1,1,0,0,1,1,0,1,0,0,0
T1,LO3c_2,ER11s_2_2,0,1,1,0,0,0,0,0,0,0
T1,LO3c_2,ER11s_2_3,1,0,0,1,0,1,0,0,1,0
T1,LO3c_2,ER11t_2_1,0,1,1,0,0,1,0,0,1,0
T1,LO3c_2,ER11t_2_2,0,1,1,0,0,0,0,1,1,0
T1,LO3c_2,ER11t_2_3,1,0,0,1,0,1,1,0,0,1
T1,LO3d_1,ER12a_1_1,1,0,1,0,0,0,0,0,0,0
T1,LO3d_1,ER12b_1_1,0,1,0,1,0,1,0,1,1,0
T1,LO3d_1,ER12c_1_1,1,0,0,1,0,0,0,0,0,0
T1,LO4a_1,ER13a_1_1,1,0,1,0,0,0,0,0,0,0
T1,LO4a_1,ER13a_1_2,0,1,1,0,0,0,1,0,0,0
T1,LO4a_1,ER13a_1_3,1,0,0,1,0,1,0,0,0,0
T1,LO4a_1,ER13a_1_4,0,1,1,0,1,0,0,1,1,0
T1,LO4a_1,ER13a_1_5,0,1,1,0,1,0,0,1,1,0
T1,LO4a_1,ER13b_1_1,0,1,0,1,0,1,0,1,1,0
T1,LO4a_1,ER13b_1_2,0,1,1,0,0,1,0,1,1,0
T1,LO4a_1,ER13b_1_3,0,1,1,0,0,1,0,1,0,0
T1,LO4a_1,ER13b_1_4,0,1,1,0,0,0,0,0,0,0
T1,LO4a_1,ER13b_1_5,0,1,1,0,0,1,0,1,1,0
T1,LO4a_1,ER13c_1_1,1,0,0,1,1,0,0,1,1,0
T1,LO4a_1,ER13c_1_2,0,1,1,0,0,0,1,0,0,1
T1,LO4b_1,ER14a_1_1,0,1,0,1,0,1,0,1,1,0
T1,LO4b_1,ER14a_1_2,0,1,1,0,1,0,0,0,0,0
T1,LO4b_1,ER14b_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO4b_1,ER14b_1_2,0,1,1,0,0,1,0,1,0,0
T1,LO4b_1,ER14b_1_3,1,0,0,1,1,0,0,1,0,1
T1,LO4b_1,ER14b_1_4,1,0,0,1,0,0,0,0,0,1
T1,LO4b_1,ER14c_1_1,1,0,0,1,1,0,0,1,1,0
T1,LO4b_1,ER14c_1_2,0,1,1,0,0,0,1,0,0,1
T1,LO4b_1,ER14c_1_3,1,0,0,1,0,0,1,0,0,0
T1,LO4b_1,ER14c_1_4,1,0,0,1,0,1,0,1,0,0
T1,LO4b_1,ER14c_1_5,1,0,0,1,0,0,0,1,0,1
T1,LO4b_1,ER14d_1_1,1,0,0,1,1,0,1,0,1,0
T1,LO4b_1,ER14d_1_2,0,1,1,0,1,0,1,0,0,0
T1,LO4b_1,ER14d_1_3,0,1,1,0,0,0,1,0,0,0
T1,LO4b_1,ER14d_1_4,1,0,0,1,0,1,1,0,0,0
T1,LO4b_1,ER14e_1_1,1,0,1,0,0,0,0,0,0,0
T1,LO5a_1,ER15a_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO5a_1,ER15b_1_1,0,1,0,1,0,0,0,1,0,0
T1,LO6a_1,ER16a_1_1,1,0,1,0,0,0,0,0,0,0
T1,LO6a_1,ER16b_1_1,0,1,0,1,0,1,0,1,1,0
T1,LO7a_1,ER17a_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO7a_1,ER17b_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO7a_1,ER17c_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO7a_1,ER17d_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO7a_1,ER17e_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO7a_1,ER17f_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO7a_1,ER17g_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO8a_1,ER18a_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO8a_1,ER18b_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO8a_1,ER18c_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO8a_1,ER18d_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO8a_1,ER18e_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO8a_1,ER18f_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO8a_1,ER18g_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO8a_1,ER18h_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO8a_1,ER18i_1_1,0,1,0,1,0,0,0,0,0,0
T2,LO1a_1,ER1a_1_1,0,1,1,0,0,0,0,0,0,0
T2,LO1a_1,ER1b_1_1,0,1,0,1,0,1,0,1,1,0
T2,LO2a_1,ER2a_1_1,1,0,1,0,0,0,0,0,0,0
T2,LO2a_1,ER2a_1_2,0,1,1,0,1,0,0,1,0,1
T2,LO2a_1,ER2a_1_3,1,0,0,1,0,0,1,0,0,0
T2,LO2a_1,ER2a_1_4,0,1,1,0,1,0,0,1,0,0
T2,LO2a_1,ER2a_1_5,1,0,0,1,0,0,0,1,0,0
T2,LO2a_1,ER2b_1_1,0,1,0,1,0,1,0,1,1,0
T2,LO2a_1,ER2b_1_2,1,0,0,1,0,0,0,0,0,1
T2,LO2a_1,ER2b_1_3,1,0,0,1,1,0,1,0,0,0
T2,LO2b_1,ER3a_1_1,1,0,1,0,1,0,0,0,0,0
T2,LO2b_1,ER3a_1_2,1,0,0,1,0,1,1,0,0,0
T2,LO2b_1,ER3b_1_1,0,1,0,1,0,1,0,1,1,0
T2,LO2b_1,ER3b_1_2,1,0,0,1,0,0,1,0,0,1
T2,LO2b_1,ER3b_1_3,0,1,1,0,1,0,0,0,1,0
T2,LO2b_1,ER3b_1_4,1,0,0,1,0,1,1,0,0,1
T2,LO2b_1,ER3c_1_1,0,1,0,1,0,0,0,0,0,0
T2,LO2b_1,ER3c_1_2,1,0,0,1,1,0,0,1,0,1
T2,LO2c_1,ER4a_1_1,1,0,1,0,0,0,0,0,0,0
T2,LO2c_1,ER4b_1_1,0,1,0,1,0,1,0,1,1,0
T2,LO2c_1,ER4b_1_2,1,0,0,1,0,0,0,1,0,1
T2,LO2c_1,ER4b_1_3,0,1,1,0,1,0,0,1,0,1
T2,LO2c_1,ER4b_1_4,0,1,1,0,0,0,0,0,1,0
T2,LO2c_1,ER4b_1_5,1,0,0,1,0,0,0,1,1,0
T2,LO2d_1,ER5a_1_1,1,0,1,0,0,0,0,0,0,0
T2,LO2d_1,ER5b_1_1,0,1,0,1,0,1,0,1,1,0
T2,LO2d_1,ER5b_1_2,0,1,1,0,1,0,0,0,0,1
T2,LO3a_1,ER6a_1_1,1,0,1,0,0,0,0,0,0,0
T2,LO3a_1,ER6a_1_2,0,1,1,0,0,0,0,1,0,1
T2,LO3a_1,ER6a_1_3,0,1,1,0,0,0,0,0,0,0
T2,LO3a_1,ER6a_1_4,0,1,1,0,0,0,0,1,0,0
T2,LO3a_1,ER6b_1_1,0,1,0,1,0,1,1,0,1,0
T2,LO3a_1,ER6b_1_2,1,0,0,1,0,0,0,1,1,0
T2,LO3b_1,ER7a_1_1,1,0,1,0,1,0,0,0,0,0
T2,LO3b_1,ER7a_1_2,1,0,0,1,0,1,1,0,0,0
T2,LO3b_1,ER7a_1_3,0,1,1,0,0,1,0,0,0,1
T2,LO3b_1,ER7b_1_1,1,0,0,1,1,0,1,0,1,0
T2,LO3b_1,ER7b_1_2,1,0,0,1,0,0,0,1,0,0
T2,LO3b_1,ER7b_1_3,1,0,0,1,0,1,1,0,0,1
T2,LO3b_1,ER7b_1_4,0,1,1,0,0,1,0,0,0,1
T2,LO3c_1,ER8a_1_1,1,0,1,0,0,0,0,0,0,0
T2,LO3c_1,ER8a_1_2,0,1,1,0,1,0,1,0,1,0
T2,LO3c_1,ER8b_1_1,1,0,0,1,1,0,1,0,1,0
T2,LO3c_1,ER8b_1_2,0,1,1,0,0,0,0,1,0,0
T2,LO3c_1,ER8b_1_3,1,0,0,1,0,0,0,0,0,0
T2,LO3c_1,ER8c_1_1,0,1,0,1,0,0,0,0,0,0
T2,LO3c_1,ER8c_1_2,0,1,1,0,1,0,0,1,0,1
T2,LO3d_1,ER9a_1_1,1,0,1,0,0,0,0,0,0,0
T2,LO3d_1,ER9a_1_2,0,1,1,0,0,1,0,1,0,1
T2,LO3d_1,ER9b_1_1,0,1,0,1,1,0,0,1,1,0
T2,LO3d_1,ER9b_1_2,0,1,1,0,0,0,1,0,0,0
T2,LO3d_1,ER9b_1_3,0,1,1,0,1,0,0,1,0,1
T2,LO3d_1,ER9c_1_1,0,1,0,1,0,1,0,0,0,0
T2,LO3d_1,ER9c_1_2,1,0,0,1,0,1,0,1,0,0
T2,LO3d_2,ER9a_2_1,1,0,0,1,0,1,0,0,0,1
T2,LO3d_2,ER9a_2_2,1,0,0,1,1,0,1,0,1,0
T2,LO3d_2,ER9a_2_3,0,1,1,0,0,1,0,0,1,0
T2,LO3d_2,ER9b_2_1,0,1,1,0,0,0,0,1,0,1
T2,LO3d_2,ER9b_2_2,1,0,0,1,1,0,0,0,0,1
T2,LO3d_2,ER9c_2_1,0,1,1,0,0,0,1,0,1,0
T2,LO3d_2,ER9c_2_2,1,0,0,1,1,0,0,0,1,0
T2,LO3d_2,ER9c_2_3,1,0,0,1,0,0,0,0,1,0
T2,LO3d_2,ER9c_2_4,1,0,0,1,0,1,1,0,0,0
T2,LO3e_1,ER10a_1_1,1,0,1,0,0,0,0,0,0,0
T2,LO3e_1,ER10a_1_2,0,1,1,0,0,0,0,1,0,1
T2,LO3e_1,ER10a_1_3,0,1,1,0,0,0,0,0,0,1
