label,bow_wt_x,bow_stem_x,bow_lem_x,Unnamed: 0,bow_wt_y,bow_stem_y,bow_lem_y,wt_codecoverage,stem_codecoverage,lem_codecoverage,wt_Course_Outline_[EECS2311]_content,stem_Course_Outline_[EECS2311]_content,lem_Course_Outline_[EECS2311]_content,wt_Course_Outline_[EECS2311]_week_10_study_material,stem_Course_Outline_[EECS2311]_week_10_study_material,lem_Course_Outline_[EECS2311]_week_10_study_material,stem_Course_Outline_[EECS2311]_week_10_weekly_goals,stem_Course_Outline_[EECS2311]_week_11_weekly_goals,wt_Course_Outline_[EECS2311]_week_4_lab_tasks,stem_Course_Outline_[EECS2311]_week_4_lab_tasks,lem_Course_Outline_[EECS2311]_week_4_lab_tasks,wt_Course_Outline_[EECS2311]_week_4_study_material,stem_Course_Outline_[EECS2311]_week_4_study_material,lem_Course_Outline_[EECS2311]_week_4_study_material,wt_Course_Outline_[EECS2311]_week_4_weekly_goals,stem_Course_Outline_[EECS2311]_week_4_weekly_goals,lem_Course_Outline_[EECS2311]_week_4_weekly_goals,wt_Course_Outline_[EECS2311]_week_5_weekly_goals,stem_Course_Outline_[EECS2311]_week_5_weekly_goals,lem_Course_Outline_[EECS2311]_week_5_weekly_goals,wt_Course_Outline_[EECS2311]_week_8_study_material,stem_Course_Outline_[EECS2311]_week_8_study_material,lem_Course_Outline_[EECS2311]_week_8_study_material,stem_Course_Outline_[EECS2311]_week_9_due,stem_Course_Outline_[EECS2311]_week_9_study_material,wt_Debug2311-s1-full,stem_Debug2311-s1-full,lem_Debug2311-s1-full,wt_design,stem_design,lem_design,wt_EECS_2311_Project_[EECS2311]_content,stem_EECS_2311_Project_[EECS2311]_content,lem_EECS_2311_Project_[EECS2311]_content,wt_EECS_2311_Project_[EECS2311]_new_requirements,stem_EECS_2311_Project_[EECS2311]_new_requirements,lem_EECS_2311_Project_[EECS2311]_new_requirements,wt_eecs_2311_team_expectations_agreement,stem_eecs_2311_team_expectations_agreement,lem_eecs_2311_team_expectations_agreement,wt_GitInEclipse-s1-full,stem_GitInEclipse-s1-full,lem_GitInEclipse-s1-full,wt_git,stem_git,lem_git,wt_junit,stem_junit,lem_junit,wt_midtermsubmission,stem_midtermsubmission,lem_midtermsubmission,wt_projintro,stem_projintro,lem_projintro,wt_video1070436446-s1-full,stem_video1070436446-s1-full,lem_video1070436446-s1-full,stem_video1093009770-s1-full,wt_video1161828255-s1-full,stem_video1161828255-s1-full,lem_video1161828255-s1-full,wt_video1263128755-s1-full,stem_video1263128755-s1-full,lem_video1263128755-s1-full,stem_video1592612799-s1-full,wt_video1652578959-s1-full,stem_video1652578959-s1-full,lem_video1652578959-s1-full,wt_video1766812555-s1-full,stem_video1766812555-s1-full,lem_video1766812555-s1-full,wt_video1767379574-s1-full,stem_video1767379574-s1-full,lem_video1767379574-s1-full,wt_video1860539589-s1-full,stem_video1860539589-s1-full,lem_video1860539589-s1-full
apprais,,1.0,,4,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appraise,1.0,,1.0,5,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
argu,,1.0,,6,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
argue,1.0,,1.0,7,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0
check,1.0,1.0,1.0,12,1.0,1.0,1.0,,,,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,
critiqu,,1.0,,24,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
critique,1.0,,1.0,25,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
debat,,1.0,,26,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
debate,1.0,,1.0,27,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
defend,1.0,1.0,1.0,28,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evalu,,2.0,,50,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,1.0,,1.0,,,,,,6.0,,,1.0,
evaluate,2.0,,2.0,51,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,1.0,,1.0
judg,,1.0,,68,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
judge,1.0,,1.0,69,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
measur,,1.0,,71,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,8.0,,,1.0,,,,,,,1.0,,,,,,,
measure,1.0,,1.0,72,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,3.0,,3.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,8.0,,8.0,1.0,,1.0,,,,,1.0,,1.0,,,,,,
select,1.0,1.0,1.0,100,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,1.0,,,2.0,
support,1.0,1.0,1.0,105,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test,1.0,1.0,1.0,106,1.0,1.0,1.0,4.0,12.0,4.0,9.0,22.0,12.0,4.0,7.0,5.0,1.0,1.0,3.0,4.0,4.0,,2.0,,1.0,3.0,2.0,1.0,2.0,1.0,,,,,2.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,49.0,66.0,58.0,3.0,5.0,3.0,,1.0,1.0,2.0,5.0,2.0,,,,,,,,1.0,5.0,11.0,5.0,,1.0,,,,,2.0,4.0,2.0
verifi,,1.0,,109,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verify,1.0,,1.0,110,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
